"";"MONTH";"DIFFUSED";"DIRECT"
"1";0;347210;138263
"2";1;575362;310079
"3";2;1059926;797012
"4";3;1488691;1359831
"5";4;1891359;1910036
"6";5;2050376;1995637
"7";6;2014112;1918101
"8";7;1725566;1657049
"9";8;1190648;1092107
"10";9;748666;573688
"11";10;383023;166385
"12";11;260041;84225
